Lap,S1,S2,S3,Total,Top Speed
1,33.597,,20.654,54.252,316
2,31.199,39.207,26.044,96.45,327
3,29.408,39.04,26.961,95.41,327
4,32.601,40.237,25.959,98.798,327
5,28.843,40.802,26.942,96.588,327
6,30.046,39.902,25.538,95.487,328
7,29.008,39.886,25.759,94.653,328
8,29.593,41.289,26.005,96.888,328
9,28.747,39.546,26.894,95.187,328
10,29.3,38.548,25.259,93.106,328
11,28.595,38.355,26.047,92.997,328
12,30.696,39.8,26.344,96.841,328
13,29.795,38.206,24.962,92.964,328
14,28.844,38.705,25.89,93.44,328
15,28.846,39.257,25.846,93.949,328
16,29.259,38.79,26.058,94.107,328
17,28.646,38.405,26.293,93.344,326
18,28.745,38.406,25.662,92.812,324
19,29.496,39.054,25.743,94.293,324
20,28.945,38.706,25.343,92.993,328
21,58.022,39.287,26.163,123.472,328
22,28.638,37.555,24.985,91.178,329
23,29.009,38.189,25.556,92.755,328
24,29.142,39.104,25.989,94.236,323
